2022-01-12 15:33:29,729 - INFO - --- Configs List---
2022-01-12 15:33:29,729 - INFO - --- Dadaset:MIRFlickr
2022-01-12 15:33:29,729 - INFO - --- Train:True
2022-01-12 15:33:29,729 - INFO - --- Bit:16
2022-01-12 15:33:29,729 - INFO - --- Alpha:0.5
2022-01-12 15:33:29,729 - INFO - --- Beta:0.1
2022-01-12 15:33:29,729 - INFO - --- Lambda:0.4
2022-01-12 15:33:29,729 - INFO - --- Mu:1.4
2022-01-12 15:33:29,729 - INFO - --- Batch:32
2022-01-12 15:33:29,729 - INFO - --- Lr_IMG:0.01
2022-01-12 15:33:29,729 - INFO - --- Lr_TXT:0.01
2022-01-12 15:33:37,952 - INFO - Epoch [1/300], Iter [78/156] Loss: 0.4533
2022-01-12 15:33:39,407 - INFO - Epoch [1/300], Iter [156/156] Loss: 0.2213
2022-01-12 15:33:41,249 - INFO - Epoch [2/300], Iter [78/156] Loss: 0.0655
2022-01-12 15:33:42,755 - INFO - Epoch [2/300], Iter [156/156] Loss: 0.1063
2022-01-12 15:33:44,614 - INFO - Epoch [3/300], Iter [78/156] Loss: -0.0525
2022-01-12 15:33:46,072 - INFO - Epoch [3/300], Iter [156/156] Loss: -0.0064
2022-01-12 15:33:47,932 - INFO - Epoch [4/300], Iter [78/156] Loss: 0.0479
2022-01-12 15:33:49,413 - INFO - Epoch [4/300], Iter [156/156] Loss: -0.1092
2022-01-12 15:33:51,294 - INFO - Epoch [5/300], Iter [78/156] Loss: -0.2630
2022-01-12 15:33:52,763 - INFO - Epoch [5/300], Iter [156/156] Loss: -0.0841
2022-01-12 15:33:54,620 - INFO - Epoch [6/300], Iter [78/156] Loss: -0.1926
2022-01-12 15:33:56,077 - INFO - Epoch [6/300], Iter [156/156] Loss: -0.2353
2022-01-12 15:33:57,918 - INFO - Epoch [7/300], Iter [78/156] Loss: -0.2774
2022-01-12 15:33:59,420 - INFO - Epoch [7/300], Iter [156/156] Loss: -0.2604
2022-01-12 15:34:01,304 - INFO - Epoch [8/300], Iter [78/156] Loss: -0.3461
2022-01-12 15:34:02,760 - INFO - Epoch [8/300], Iter [156/156] Loss: -0.3485
2022-01-12 15:34:04,623 - INFO - Epoch [9/300], Iter [78/156] Loss: -0.3205
2022-01-12 15:34:06,072 - INFO - Epoch [9/300], Iter [156/156] Loss: -0.2516
2022-01-12 15:34:07,959 - INFO - Epoch [10/300], Iter [78/156] Loss: -0.3855
2022-01-12 15:34:09,454 - INFO - Epoch [10/300], Iter [156/156] Loss: -0.4363
2022-01-12 15:34:11,330 - INFO - Epoch [11/300], Iter [78/156] Loss: -0.4215
2022-01-12 15:34:12,808 - INFO - Epoch [11/300], Iter [156/156] Loss: -0.3474
2022-01-12 15:34:14,667 - INFO - Epoch [12/300], Iter [78/156] Loss: -0.3888
2022-01-12 15:34:16,163 - INFO - Epoch [12/300], Iter [156/156] Loss: -0.3331
2022-01-12 15:34:18,047 - INFO - Epoch [13/300], Iter [78/156] Loss: -0.4036
2022-01-12 15:34:19,520 - INFO - Epoch [13/300], Iter [156/156] Loss: -0.4993
2022-01-12 15:34:21,412 - INFO - Epoch [14/300], Iter [78/156] Loss: -0.3837
2022-01-12 15:34:22,875 - INFO - Epoch [14/300], Iter [156/156] Loss: -0.4741
2022-01-12 15:34:24,750 - INFO - Epoch [15/300], Iter [78/156] Loss: -0.4569
2022-01-12 15:34:26,225 - INFO - Epoch [15/300], Iter [156/156] Loss: -0.4534
2022-01-12 15:34:28,088 - INFO - Epoch [16/300], Iter [78/156] Loss: -0.4237
2022-01-12 15:34:29,564 - INFO - Epoch [16/300], Iter [156/156] Loss: -0.4256
2022-01-12 15:34:31,471 - INFO - Epoch [17/300], Iter [78/156] Loss: -0.4746
2022-01-12 15:34:32,940 - INFO - Epoch [17/300], Iter [156/156] Loss: -0.4812
2022-01-12 15:34:34,801 - INFO - Epoch [18/300], Iter [78/156] Loss: -0.4341
2022-01-12 15:34:36,285 - INFO - Epoch [18/300], Iter [156/156] Loss: -0.4064
2022-01-12 15:34:38,145 - INFO - Epoch [19/300], Iter [78/156] Loss: -0.3905
2022-01-12 15:34:39,628 - INFO - Epoch [19/300], Iter [156/156] Loss: -0.3870
2022-01-12 15:34:41,497 - INFO - Epoch [20/300], Iter [78/156] Loss: -0.4772
2022-01-12 15:34:43,180 - INFO - Epoch [20/300], Iter [156/156] Loss: -0.4294
2022-01-12 15:34:45,117 - INFO - Epoch [21/300], Iter [78/156] Loss: -0.4886
2022-01-12 15:34:46,586 - INFO - Epoch [21/300], Iter [156/156] Loss: -0.3988
2022-01-12 15:34:48,463 - INFO - Epoch [22/300], Iter [78/156] Loss: -0.5342
2022-01-12 15:34:49,941 - INFO - Epoch [22/300], Iter [156/156] Loss: -0.4967
2022-01-12 15:34:51,786 - INFO - Epoch [23/300], Iter [78/156] Loss: -0.4229
2022-01-12 15:34:53,271 - INFO - Epoch [23/300], Iter [156/156] Loss: -0.4257
2022-01-12 15:34:55,145 - INFO - Epoch [24/300], Iter [78/156] Loss: -0.5020
2022-01-12 15:34:56,610 - INFO - Epoch [24/300], Iter [156/156] Loss: -0.3786
2022-01-12 15:34:58,487 - INFO - Epoch [25/300], Iter [78/156] Loss: -0.5173
2022-01-12 15:34:59,966 - INFO - Epoch [25/300], Iter [156/156] Loss: -0.4864
